region,division,department,team,employee_id,role,salary_usd,bonus_usd,performance_score,tasks_completed
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000037,Manager,46743.54,10006.67,5.0,125
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000038,Engineer,41330.15,8444.38,3.52,93
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000039,Manager,46575.06,10873.87,3.62,75
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_2,E000040,Lead,53171.34,11354.55,3.85,101
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000041,Lead,61294.09,13941.98,2.64,80
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000042,Engineer,45620.51,9146.81,2.54,107
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000043,Associate,38150.03,6893.06,3.91,54
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000044,Analyst,43248.56,7391.69,3.46,80
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000045,Engineer,49022.43,9977.58,4.14,87
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000046,Analyst,47089.41,9026.09,3.51,83
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000047,Analyst,44419.48,8901.0,3.83,92
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000048,Engineer,50315.56,10531.14,3.56,61
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000049,Analyst,44450.92,7479.74,3.02,62
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000050,Manager,57268.13,12117.97,3.1,103
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000051,Lead,68826.83,13412.85,4.4,67
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000052,Associate,41271.76,7774.08,4.18,76
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000053,Analyst,47016.16,9169.89,3.4,86
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000054,Engineer,47002.78,9258.56,3.14,89
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000055,Analyst,42519.86,7357.75,3.86,40
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000056,Engineer,55001.44,9424.18,4.09,74
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000057,Engineer,48677.67,9579.44,2.65,43
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000058,Engineer,48892.06,8709.2,3.79,72
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000059,Lead,60790.9,12855.57,2.98,78
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_3,E000060,Associate,41044.36,7078.56,2.35,74
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000061,Engineer,54776.8,16336.93,4.58,113
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000062,Engineer,57581.93,16215.78,3.48,111
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000063,Engineer,58951.38,16978.54,4.88,114
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000064,Associate,43533.59,13564.82,3.67,95
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000065,Engineer,58329.14,17555.19,4.01,107
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000066,Lead,79474.91,23662.19,3.74,84
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000067,Lead,69515.75,21952.76,5.0,104
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000068,Engineer,62525.78,17729.5,4.54,95
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000069,Manager,71238.71,20121.73,4.48,108
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000070,Engineer,59545.87,17783.62,3.48,103
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000071,Engineer,58323.17,17329.51,4.02,130
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000072,Lead,70837.47,21825.66,3.2,79
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000073,Analyst,46123.26,13808.11,4.61,96
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000074,Analyst,51236.34,15090.83,4.72,108
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000075,Associate,42248.21,15376.27,4.5,92
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000076,Engineer,58857.09,17785.36,4.01,113
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000077,Engineer,54440.81,18267.78,4.39,109
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000078,Analyst,51394.56,15804.65,4.71,121
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000079,Associate,44522.01,13230.88,4.38,86
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_4,E000080,Manager,65184.15,19644.37,4.39,105
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000081,Associate,24903.04,5959.62,4.54,113
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000082,Engineer,30960.71,8716.82,3.29,81
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000083,Analyst,22725.38,4552.58,4.77,62
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000084,Manager,35559.88,9729.16,4.15,108
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000085,Associate,18299.12,6235.31,4.27,91
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000086,Analyst,26376.86,6015.96,3.63,66
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000087,Manager,34704.56,9338.63,4.37,67
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000088,Manager,36531.72,9200.25,4.36,84
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000089,Engineer,29180.66,8093.73,4.38,75
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000090,Analyst,28447.13,7184.83,3.46,68
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000091,Engineer,24358.61,6964.07,3.09,90
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000092,Engineer,26934.47,8508.13,4.35,114
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000093,Engineer,29882.72,8435.62,4.0,118
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000094,Engineer,26655.35,7409.52,4.45,107
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000095,Analyst,23795.82,7507.13,4.08,103
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000096,Associate,26403.66,6005.3,3.93,71
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000097,Analyst,24385.11,6317.66,5.0,112
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000098,Lead,38473.74,9646.33,4.63,76
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000099,Associate,21625.94,7082.72,5.0,75
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_5,E000100,Engineer,32140.84,7710.82,4.09,86
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000101,Engineer,23287.54,7851.63,3.18,94
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000102,Analyst,20681.37,7677.47,2.84,110
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000103,Lead,36545.99,8877.81,1.84,82
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000104,Associate,24232.42,6084.37,2.58,83
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000105,Engineer,27448.25,6259.76,3.68,73
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000106,Analyst,18778.91,6831.93,3.43,101
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000107,Engineer,29646.0,6647.79,3.35,121
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000108,Associate,18689.85,4370.39,2.79,82
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000109,Engineer,19230.92,7059.03,2.39,80
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000110,Engineer,25036.24,7030.21,2.72,83
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000111,Manager,27944.35,8759.94,2.91,82
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000112,Lead,24739.47,9662.36,3.04,100
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000113,Engineer,28281.44,7707.5,3.47,84
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000114,Analyst,23300.27,5158.04,2.06,56
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000115,Analyst,14212.39,7363.59,3.55,106
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000116,Lead,38072.29,8073.55,3.83,82
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000117,Associate,16254.08,6505.38,3.74,61
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000118,Lead,34993.64,11102.72,4.91,93
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000119,Manager,27790.02,8282.0,3.4,90
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_6,E000120,Associate,16801.11,4324.72,3.4,86
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000121,Associate,22850.98,14723.92,5.0,67
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000122,Associate,19864.71,12684.85,3.68,66
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000123,Engineer,24617.96,14465.01,3.56,80
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000124,Engineer,28843.71,16528.45,4.84,32
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000125,Engineer,28647.85,17009.37,4.87,67
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000126,Analyst,22366.83,13711.18,5.0,61
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000127,Manager,32944.13,19920.0,5.0,69
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000128,Manager,37121.88,19290.0,3.64,89
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000129,Manager,35387.32,21112.32,5.0,41
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000130,Associate,24295.62,13558.56,4.78,78
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000131,Engineer,30482.22,15376.17,4.34,74
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000132,Engineer,26165.9,15644.98,4.31,76
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000133,Engineer,26225.89,15190.52,4.07,67
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000134,Analyst,30428.23,14710.98,4.02,73
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000135,Associate,14800.81,13099.5,4.9,70
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000136,Engineer,26684.84,17820.0,4.74,59
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000137,Analyst,20949.14,11923.36,3.13,59
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000138,Analyst,21564.98,13890.3,4.19,65
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000139,Manager,28253.8,19797.77,4.11,94
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_7,E000140,Associate,21127.86,11550.59,5.0,45
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000141,Manager,116475.98,7037.69,2.61,73
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000142,Engineer,96553.53,5486.13,1.91,71
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000143,Analyst,84700.39,4304.44,2.52,86
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000144,Engineer,97758.02,6087.15,2.68,90
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000145,Engineer,102923.33,7418.09,2.46,95
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000146,Engineer,94738.3,5148.98,2.46,88
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000147,Associate,75906.93,4111.96,3.14,100
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000148,Engineer,103338.86,5007.48,2.25,97
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000149,Manager,109947.02,6960.15,3.33,94
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000150,Analyst,83647.87,4942.69,2.57,62
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000151,Lead,127840.24,6856.4,3.19,77
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000152,Engineer,99743.59,4736.37,3.01,56
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000153,Analyst,83995.74,4276.75,2.62,91
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000154,Analyst,84592.66,4705.19,2.79,93
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000155,Associate,74307.48,4032.65,2.39,97
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000156,Engineer,93382.89,3850.94,3.02,105
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000157,Analyst,82310.09,2973.05,2.88,87
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000158,Manager,111820.01,6306.66,2.95,82
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000159,Analyst,80812.28,4548.23,1.78,90
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_1,Region_1_Div_1_Dept_1_Team_8,E000160,Associate,72885.64,5801.61,2.25,116
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000161,Engineer,78742.31,11601.82,3.63,39
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000162,Engineer,82365.55,10621.97,2.61,42
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000163,Associate,66731.68,9474.57,1.79,58
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000164,Engineer,78002.24,12482.13,4.01,36
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000165,Analyst,70316.57,9625.18,2.06,66
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000166,Associate,66575.91,8060.65,2.24,61
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000167,Engineer,79059.92,10054.51,2.52,26
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000168,Associate,69206.34,9611.72,2.75,64
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000169,Engineer,75028.02,9371.48,2.63,35
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000170,Engineer,83366.05,10839.9,3.72,46
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000171,Engineer,86400.32,11973.62,3.3,28
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000172,Analyst,77163.71,9914.01,2.51,43
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000173,Engineer,85230.27,12103.25,2.32,57
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000174,Engineer,83140.3,14265.01,2.59,43
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000175,Associate,62131.44,9036.86,2.57,23
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000176,Lead,110991.62,14695.24,2.14,58
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000177,Associate,68787.92,10883.19,3.25,66
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000178,Engineer,78947.6,10795.18,3.21,33
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000179,Analyst,68421.49,11623.12,2.14,53
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_1,E000180,Manager,101333.3,14133.12,3.04,42
Region_1,Region_1_Div_1,Region_1_Div_1_Dept_2,Region_1_Div_1_Dept_2_Team_2,E000181,Analyst,71686.89,8702.84,3.38,87
