Data scrapping of Times Square Restaurants,neg,neu,pos,compound,sentiment_label
"9. We had a very disappointing meal at Socarrat this evening.  We were excited for authentic Spanish Tapas.  The food ""looked"" delicious but unfortunately did not impress our taste buds. We ordered the calamari, fried artichoke and the Brussel sprouts as starters.  The artichoke was tender but too greasy and lacked flavor.  It also needed something to cut the grease like lemon.  While the brussel sprouts had an interesting flavor, they were also very greasy.  The biggest disappointment was the calamari.   For $17 we were served two tiny baby calamari in olive oil with a lemon wedge on the side.  Although the serving was very small, we anticipated that it would be tasty and reminiscent of our recent trip to Barcelona where we had the same dish.  Unfortunately we were disappointed,  The dish had no taste and the calamari was dry.  Would not recommend this place.",0.166,0.77,0.064,-0.9547,Very Negative
10. I sat at the bar so didn't experience the sit-down service. I had an appetizer (can't remember what but it was very gourmet and delicious). The people next to me had paella which looked very good. It's a little pricey but the quality is high.,0.0,0.907,0.093,0.6474,Positive
11. Very nice place. We tried many tapas and paella. Food is OK but quite far from Spanish restaurant taste. Price is too expensive for what it is.,0.0,0.877,0.123,0.3912,Slightly Positive
"12. Went to this restaurant last night. We had some of their appetizers and paellas. Arizona negro and the vegetarian paellas were excellent. I also loved their calamari appetizer. Sangria was also good. Fun atmosphere, friendly staff and fun place for dinner.",0.0,0.633,0.367,0.9652,Very Positive
"13. It's a paella bar. Three of us all enjoyed the arroz negro paella...very much! One of us had dietary restrictions and hostess was very accommodating by suggesting what food would be best. love this place.



14. Happened to come here during restaurant week with a friend who had been here. The 2 apps were very tasty (the shrimp and the sausage). We even added a pork belly app that while delicious could have been amazing had the skin been slightly crispier. The paella itself was incredibly authentic and tasty. Btw, they do mention it's prepared fresh and takes 40 minutes. The churros for dessert (during restaurant week) were tasty and a nice conclusion to the meal.



15. The paella was good, but do not bother with the tapas. The tortilla, pulpo and baby artichokes were mediocre at best, and the churros were tough.",0.011,0.8,0.189,0.9751,Very Positive
"16. Went to Socarrat with our son and his girlfriend. What a great find. Tapas were superb. We had the shrimp with garlic and olive oil (could have used a whole loaf of bread to soak up the garlic and olive oil), grilled squid, ham and cheese board , pork belly and croquetas tapas. For the main course we had the langosta paella. Best paella I have had. Seafood was cooked to perfection and he rice nice and crispy. Our wine selection was very good. Restaurant is small and noisy but then it is NYC and that is part of the ambiance. Not cheap but you get what you pay for. Will surely return.",0.024,0.829,0.147,0.9318,Very Positive
"17. Great restaurant, great friendly service and amazing paella. the tapas appetizers were excellent. the only reason I gave 4 stars is because the tables are high and you have to sit on stools .make sure you get a table on the side that has regular tables.",0.0,0.642,0.358,0.969,Very Positive
"18. We had a nice time, very small place with little seating. The food wasn't bad, not sure I'd return though.",0.0,0.698,0.302,0.7478,Positive
"19. The tapa menu looks good so I would come back to explore other dishes. I did try the tuna and it was well cooked with solid flavor (a lot of salt which was overwhelming). The paella (black rice with seafood) was OK. It was a very thin layer of rice which meant you had a lot of the burnt bottom which was not bad; however, I prefer to have some soft rice to counter the hard chewy bottom. The seafood was not well cooked and did not really have much flavor.



20. Really enjoyed the food here and service was impeccable. My 18 and 9 year old daughters enjoyed everything. 4 tapas croquette, suckling pig, plancha squid and beef skewers were terrific and delicate. Then a seafood paella that was cooked to perfection. Thank you",0.009,0.778,0.213,0.9799,Very Positive
"Blue Fin
SeafoodSushiSoups
4.0
21. Adrienne was our server and he was nothing short of amazing. Very helpful, honest, quick, and attentive. He made our dining experience there very well worth it!",0.074,0.649,0.277,0.8158,Very Positive
"22. Excellent service across the board. This was our second time that my wife, kids, and I ate here and since we are both Presidents club members, we do a lot of Landrys dining.",0.0,0.893,0.107,0.5719,Positive
23. Wonderful spot to go to after or before the theatre. The food was great but more importantly the service was spectacular. Thank you Tristan for a wonderful experience and great recommendations.,0.0,0.529,0.471,0.9727,Very Positive
"24. This is a great spot to go to before hitting up a Broadway show. It is clean, the service is great and the food was delicious! Easy walk to Times Square and Broadway from, even in those high heel shoes. Highly recommend!



25. Blue Fin was amazing. The food was great. We especially enjoyed the crab cakes an oysters on the half shell. The ambiance was conducive to a quiet lovely dinner where you could enjoy talking to your dinner companion",0.0,0.633,0.367,0.9908,Very Positive
26. The food was outstanding- get the special roll! Tristan was great! Very friendly and gave good food recommendations,0.0,0.441,0.559,0.957,Very Positive
"27.  The Food, ambience and service were excellent. Our server Alexys was wonderful!! Highly attentive and friendly!!! We recommend this restaurant!!!",0.0,0.539,0.461,0.9385,Very Positive
"28. This spot is fantastic for a casual night out with excellent service and great food. Tristen took excellent care of our needs and made sure we had everything we wanted and needed. The food was absolutely delicious!



29. Our food was great. The experience was great. Tristen is a fabulous server. The butterscotch bread pudding was AMAZING!",0.0,0.509,0.491,0.992,Very Positive
"30. Tristian is absolutely one of the best servers! Personable and very easy to talk with! I absolutely recommend this place



31. Read some reviews and came here for pre theatre dinner - perfect location and perfect dinner - excellent quality and superior service from Tristan. Will come again for sure!",0.0,0.589,0.411,0.9817,Very Positive
"32. Amazing ! Place in Crown heights they do lunch brunch and dinner. I recommend coming for brunch and enjoy the vibes



33. We were here in 2019 before they closed due to the pandemic. We enjoyed it then and we enjoyed it more now. Krystal was awesome with her recommendations and we had a fabulous meal.



34. Patrick served my friend and me at the bar, and he truly made our experience special! His recommendations were delicious! We loved our bottle of wine! His personality and level of service really put this visit over the top. Highly recommend the sushi.",0.0,0.649,0.351,0.9925,Very Positive
35. Great food. Tried several items on the menu all very fresh and tasty. Our waiter Alexys took very good care of us. Would definitely go back again to this restaurant.,0.0,0.618,0.382,0.9438,Very Positive
"36. We enjoyed an excellent dinner at Blue Fin prior to going to a Broadway show. The place gets very busy so we were glad that we had made a reservation. Our server Tristan was personable, friendly and accommodating.",0.0,0.71,0.29,0.9255,Very Positive
37. This is a gem of a restaurant in the rush and noise of Times Square. Perfect for pre-theatre. The food is excellent and service attentive. I especially want to praise Krystal who was our waiter. She was lovely and efficient!,0.0,0.618,0.382,0.9625,Very Positive
"38. Terrific food and lovely place, out of the crushing mobs around Times Square. It doesn't feel like a pre-theater kid scene but the service is quick and the food delicious",0.087,0.661,0.251,0.8017,Very Positive
"39. Quiet respite from the chaos of Times Square and perfect for pre-show dinner. Adrian, our server, was a delight! Personable, attentive, and had excellent recommendations. We started with a glass of Chardonnay and shared the Bang Bang Rock Shrimp with Shisitos",0.07,0.664,0.266,0.8832,Very Positive
40. Had a wonderful meal and very good drinks (martinis). Glazed sea bass excellent wow. Waiter Alexys was superior. Timely w clearing table and knowledge of menu.,0.0,0.528,0.472,0.9577,Very Positive
"Tony's Di Napoli - Midtown
Local cuisine, Italian, Neapolitan, Vegetarian Friendly, Vegan Options
4.5
41. About 20 of us ate here and we had a great experience. We especially enjoyed their 1/2 salads that are so generous in size with the perfect dressing done by the table. Many of my friends selected seafood and veal dishes. Since I was not too hungry, I ordered the octopus appetizer. It was delicious.",0.0,0.697,0.303,0.9791,Very Positive
42. What a disappointment. Too loud. Seafood platter was over cooked and rubbery. The eggplant parmigiana specialty was just okay. Service was pleasant enough but food and atmosphere not great. Expected more given the reviews here. Recommend avoid this place.,0.191,0.67,0.139,-0.5486,Negative
"43. This is a great little find when looking for Italian fare when in NYC. The restaurant has quite a bit of seating and was busy when we went mid-week. We ordered the Lobster Ravioli (ok, though not exceptional), Salmon (wonderful), and the Chicken Piccata (good but a bit over-cooked). The Caesar Salad was remarkably good as the lettuce was very fresh and dressing light and flavorful. It is served family style and they say the dishes are for 2-3 people.



44. Very lively and LOUD! Do not visit if you want to have conversation. That being said, if you like a loud place, this one has good food at a reasonable price. We enjoyed the rigatoni and Caesar salad. Didn't have dessert but they looked delicious.",0.0,0.772,0.228,0.9875,Very Positive
"45. We loved the environment and we're so impressed with the attention of the staff who were so friendly. The pasta was as good. I particularly liked the Roquefort salad. Our waiter recommended the mousse cake and he didn't disappoint.



46. We had our fist dinner here and made reservations ahead of time. I'm glad we did as it was super packed even though it was a Thursday night and some people were waiting to be seated as walk ins. The food was great, big portions, so you have to order family style to share, they don't have individual portions there but everything was very delicious! We had Cesar salad and they made it in front of us, quite impressive.",0.0,0.756,0.244,0.9831,Very Positive
"47. I previously had a lunch in the upstairs area which is a bit nicer, and definitely quieter. That was really the only thing that stood out negatively, it was borderline loud with many big groups, and there weren't even any kids. Food was very solid as usual, and value is okay since you can share each full platter between at least two people. Service was also better, more attentive, faster last time but it wasn't terrible.!",0.0,0.846,0.154,0.8041,Very Positive
48. Dishes were served family style so the five of us ordered two entrees and salad. Everything was delicious. Nice selection of local beers on draft.,0.0,0.787,0.213,0.7579,Very Positive
49. Portion sizes are huge. There were 3 of us dining and we ordered 1 starter and 1 main with 1 vegetable side between us and couldn't possibly eat all of it. Slightly strange way of eating as all has to be happy to eat the same thing.,0.031,0.845,0.124,0.6697,Positive
"50. This place was absolutely amazing! The atmosphere when we arrived was fantastic, we were seated quickly even though it was busy. The food was 10/10 and the service was great too.",0.0,0.706,0.294,0.9199,Very Positive
"51. All of the plates are meant for 2-3 to share which is crazy! We ordered the chicken parm and the spaghetti pomadoro, which was very good. The service was a little slow but it was a Thursday night so it's understandable



52. I am a southern boy who likes Italian food. I got veal parmigiana and it was 100%. It i. s just exactly what we were looking for. Going back tomorrow.",0.023,0.87,0.106,0.7174,Positive
53. Sumptuous food. Worth the wait. On a weekend we couldn't get in and so we returned on a weekday to check what the hype was about. We would have missed something if we didn't try.,0.061,0.886,0.053,-0.0772,Slightly Negative
"54. The food was average, not the best Italian food I've ever had, but certainly the largest portion, perhaps more effort into quality, rather than quantity, may result better tasting food.



55. Cold food, cold plates (that arrived after the food), tasteless and overpriced. Location is good for Times Square, but that's the one and only positive - avoid. Street food has more taste. We may have been unlucky, but my guess is that the majority of diners were tourists - so will never go back. Waiter didn't (a) know his food or (b) care. We love eating out, we love great food - but neither of these boxes were ticked here - McDonald's is tastier.



56. We booked months in advance( as recommended )before taking in a Broadway show and on arrival understood why as it was packed. From start to finish it was so enjoyable, good service and food, great atmosphere and so New York



57. Being Times Square, we were worried this was going to be an unpleasant trap like Carmine's but were delightfully surprised by good service, reasonable (for NYC) prices, and outstanding food.



58. We had dinner here after seeing &Juliet (which is located just across the street). The restaurant was extremely busy, but we were seated within minutes of our reservation time. We were seated on the lower level (note, quite a few steps down). Our server was very good. The food was delicious. Portions are family-style, so they serve a few people. The prices were fairly reasonable for NYC.",0.065,0.681,0.253,0.997,Very Positive
59. It was a pleasure being guests at Tony's!! Both good and atmosphere excellent!! I highly recommend!!,0.0,0.435,0.565,0.9356,Very Positive
"60. Delicious, we will definite go back, good service. 
Lido Harlem
Vegetarian Friendly, Vegan Options, Gluten Free Options
4.5
61. ....Delicious Italian fare, great service, friendly atmosphere. This restaurant is a gem. We were here as a party of 4 on a busy Friday evening when the restaurant was at capacity and yet, we were able to have a nice conversation with each other. They offered inside and outside dining. We opted to sit inside (proof of vaccination is required inside). They checked our vaccination cards at the door. Look forward to our next visit!  



62. Resto with personality. Italian food elaborated according to a sophisticated american taste. Good service and cocktails. Pork chop is very tender and it is marinated superbly.



63. Always great. Tonight we had spaghetti with meatballs and it was delicious. Ordered takeout and picked it up. Next time we are getting the gnocchi. Everyone says it is amazing (really rich, but amazing).



64. Came with family for Labor Day weekend brunch as my daughter lives nearby and it's always been picked on previous visits. Had nice shaded and socially distanced outdoor seats on the avenue which is closed to thru traffic for the time being. Eggs Florentine panini, tomato and fontina omelet and chicken Caesar salad were all good. Service was attentive, friendly, and unobtrusive. Worth it!



65. Food was mediocre at best. The lamb chops are an image they feature on the websites opening page. It wasn't even listed on the menu. When I asked I was told they did not have it at this time. There was a hair in my water that I did not see until it was in my mouth. Disgusting. Overall, nice people. Bad food.



66. My co-workers were volunteering at a foodbank around the corner and we came here for lunch. What a find. Awesome Italian food with unique twists, not your standard fare. The atmosphere is very appealing, the prices very reasonable (especially for Manhattan) and the wait staff was awesome. I will be coming back.



67. Lido is an intimate boutique style restaurant. The servings are a unique combination of tastes, creative and delicious. The service was quick and everyone very friendly. Definitely going to return.",0.022,0.776,0.202,0.9971,Very Positive
"68. This restaurant will be on the top of my list next time I am in NYC. Loved the ambiance, The food was outstanding! Even got to visit with the couple who own the restaurant. VERY highly recommended.



69. Very good food and good variety all make this a great experience. The place is a bit noisy but service was good and we had a good meal.



70. This was my 3rd time coming. Every time I tried something new but each time ordered warm kale salad. It's is so good. Code fritters are great and shrimp with roasted cauliflower dish is a perfection. Gnocchi are a yummy option too if you want something more substantial.



71. I enjoyed a generous Florentine bacon Panini for lunch which delightfully came with a salad! Servers were attentive without being intrusive. Our party shared a delicious starter of Salt Cod Fritters, tender yet crispy!



72. We hosted a celebratory brunch for 13 guests this past Sunday, May 19th for my son's 30th birthday. Everything was perfect. The food was delicious, the staff (especially our waiter Wesley) were so attentive and the atmosphere was very stylish and appealing.



73. I'm sorry but I was not impressed with the menu or food. I'm new to the neighborhood and have been trying different restaurants. This was not a impressive as the ratings. The service was great, attentive and friendly.



74. The food was flavorful, service attentive but not intrusive, & a lovely atmosphere to share our meal together.



75. The space was energetic and filled with lively crowd. We sat near the bar and had two or three bar flies occasionally intrude on the table space as the wait staff tried to get to their station. However, that was the only table in the place that had the issue and it was a Friday Night! The food was excellent, service was pleasant and informed.



76. This was my first time eating here and I must say that I will be visiting again. The food, ambiance and service was great. I had the blueberry pancakes, scrambled eggs and biscuit with honey butter. Since I don't drink my friends enjoyed the limitless mimosas. We had a wonderful time so much we stayed for over 3 hours. Can't wait to go back. Thanks Lido.",0.036,0.671,0.293,0.9991,Very Positive
"77. We enjoyed a nice brunch at Lido - arriving at 10:30 and having the place pretty much to ourselves. By the time our food arrived, every table was packed and there were at least ten people waiting to be seated. That's a very good sign in an area of Harlem that had many, many choices! The service is very nice, my Sort Rib Hash Benedict was okay - the English muffins were too soggy when it was served which surprised me. Otherwise the food enjoyed by our party was very, very good.



78. I asked for Salmon and it was great! Also very good dessert (Tiramisu), capuccino was good also. The only thing to improve is that I personally hate when a restaurant offers the small bottle for Coca Cola!



79. We enjoyed a nice dinner here. It was a short walk from our AirB&B apartment. Had the pasta special for the night, and it was delicious. The white sangria was also yummy!



80. Overall an incredible dining experience. The drinks, appetizers, and food was delicious. I would suggest the polenta fries and the gnocchi!
Trattoria Trecolori
ItalianVegetarian FriendlyVegan Options
4.5
81.  This is one of the very best Italian restaurants in NYC. If you're near the theater district, go there for dinner.



82. Came here for pre-theatre launch with my daughter. Packed restaurant. They delivered bread and butter to our table-the bread tasted like it was dry and not the freshes. My daughters spaghetti carbonara came very hot and was delicious. My dish-chicken and asapargus with motzerella over plain linquini was not even warm. It was probably sitting in the kitchen and forgotten about. I'm not exaggerating-not hot, not even warm, and was very plain tasting. No real pasta sauce on the pasta portion. Will not be returning.



83. Great location. Close to the theaters and Times Square. Food and service were very good. Had the seafood risotto Delicious",0.03,0.746,0.224,0.9972,Very Positive
84. Had a great meal here. It felt a lot more relaxed than some of the other more well know restaurants in the North End. Home made pasta & bread made daily.,0.0,0.723,0.277,0.8746,Very Positive
"85. This is our go to in the theatre district, and again it was terrific. Arisvel V. was a great server, very helpful and available . we enjoyed the minestrone and special soup ( a bit over priced but a good portion), and the Pappardelle, which was delicious and perfectly prepared and served. Love the mini cannoli option, and prices of coffees are VERY reasonable. Thanks. Drink prices and drinks are very good; wine is appropriately priced.",0.0,0.59,0.41,0.9916,Very Positive
"86. Once again the food was delicious, out waiter helpful and the service prompt I had the veal scallopini which was wonderful. So moist and tender it melted in my mouth. Should not be missed. My wife loved the Fantasia, chicken topped with asparagus, mozzarella over linguini. Just a constantly great Italian restaurant.",0.039,0.66,0.301,0.9551,Very Positive
87. Seated promptly per our reservation. Service was timely and appropriate to our needs. Excellent spaghetti carbonara and veal piccata. Just what we were looking for in a post theater dining experience.,0.0,0.89,0.11,0.5719,Positive
88. I had the GNOCCHI ALLA BABA House made potato - ricotta dumpling in a tomato - basil sauce with eggplant and mozzarella. Paired with red wine. It was beyond delicious. The atmosphere is warm and the service is impeccable.,0.0,0.825,0.175,0.7184,Positive
"89. This restaurant is almost next door to the theatre, so we popped in for a quick dinner before the show. We had veal piccata and pappardelle pasta with marinara sauce, peas and parmesan cheese and mushrooms. All yummy. Service and atmosphere are great.",0.0,0.845,0.155,0.8176,Very Positive
"90. Amazing neighborhood spot in the Theater District! We had the minestrone, chicken tre funghi, and gnocchi baba, and all three were outstanding and reasonably priced. Our Greek waitress was outstanding as well. We will return next time we're in NYC.",0.0,0.723,0.277,0.9348,Very Positive
91. Fantastic pre-Broadway show restaurant. Enjoyed the wine selection. Wonderful Italian food and amazing tiramisu.,0.0,0.433,0.567,0.9371,Very Positive
92. I had the Twisted Palmer to drink and it was delicious. The fettuccine Alfredo with grilled portabello was amazing! I also had an affogato for dessert and it was very tasty as well. I sat at the bar and the bartender was attentive and friendly. I will definitely return next time I'm in town!,0.0,0.738,0.262,0.9464,Very Positive
93. Great food great service. We visited as a family and everyone was helpful . We had the most delicious starters and fresh pasta . Recommended,0.0,0.471,0.529,0.9589,Very Positive
94. Excellent birthday dinner! Service was excellent and very professional. We enjoyed the I Rigatone and the Cabonara. The pasta was perfectly cooked and reminded of Italy. The wait staff gave us time to visit and chat but it was never slow or dragging or rushed.,0.0,0.806,0.194,0.8349,Very Positive
"95. Excellent experience from start to finish, veal pecata and chicken Fantasia, both were delicious. Dessert- seasonal sorbets.",0.0,0.684,0.316,0.8126,Very Positive
96. Solid NYC Italian Trattoria. Very recognizable menu. Well prepared and served with style. The linguini white clam was excellent as were the lasagna Bolognese. Traditional appetizers and deserts were excellent as well.,0.0,0.633,0.367,0.9277,Very Positive
"97. We had antipasta, Caesar salad, Lasagna and tiramisu. Wow! All great. Fresh. Well prepared. Great location in the theater district. One of the best.",0.0,0.441,0.559,0.9712,Very Positive
98. Great dinner for our first night in New York! Our meal was delicious and all of the staff we interacted with were friendly and helpful with recommendations. I enjoyed the energy here and will come back.,0.0,0.606,0.394,0.9612,Very Positive
99. Never disappoints. Good quality food efficient service at good value for money prices. It's been three years since our last visit to New York and a lot has changed but this restaurant hasn't changed one bit. Well done and thank you.,0.07,0.701,0.229,0.7708,Very Positive
"102. We found this place online and we were so impressed by its super creative desserts. They are very tasty too! Not super sweet but creamy with the nuts aroma. LOVE this place and will recommend it to my friends who visit New York



103. My teenage daughter found this online before our trip and we were impressed. The lavender latte was something new and delightful for me. My daughter loved the cute baked items.",0.043,0.566,0.391,0.9913,Very Positive
"104. Every time I am in the city, I make sure to stop by this place. Everything is so good here! If you want the famous cream puffs, make sure to come after 12:30 pm.",0.055,0.698,0.248,0.7739,Very Positive
"105. Our stop each morning when in NYC! You must try the London Float. OH MY GOODNESS!!!! Their pastries are simply divine. I can't even explain how good they are!!!!



106. I'm so glad we made the trek out in the rain and didn't miss out on this place. I had a London fog late with freaking brown sugar cold foam and it was divine. I also bought 3 desserts to share with my family because how could you ever pick on?? The little llama was the best by far but I also really liked the cloud cake too. Yum!!!



107. Bibble & Sip was a short walk from our hotel. My wife and I ended up splitting a chocolate croissant, an Earl Grey cream puff, and a couple coffees. It was affordable and very tasty. There's typically a line, but it's worth it.



108. Unique bakery most baked goods are with lychee and / or matcha, the pastries are great (a bit to sweet for my taste) and not too expensive, staff is very nice.



109. Love the earl gray puff. Seriously so yum! Place gets very crowded and is very small, but the staff is friendly and the dessert is yummy.



110. I've been to Bibble and Sip 3 times. On my last trip I got the Earl Grey banana bread and lychee strawberry pig pastry. Both we delicious, but the lychee strawberry pastry was extra decadent and Oh SO good. I've also had the earl grey and matcha cream puff's in the past. Both are good, but I prefer the earl grey. The last is a bit lighter than that of the matcha. I had the Matcha lavender latte which was surprisingly good, but a bit on the sweet side so don't add extra sugar before tasting. Enjoy!",0.016,0.738,0.246,0.9976,Very Positive
"111. Delightful treats. Korean pastries that are delicious, light and almost too pretty to eat. Must visit when in NYC.",0.0,0.62,0.38,0.8865,Very Positive
"112. This is a small coffee shop type place with minimal seating and elaborate cutely made desserts. The desserts are decent, but inconsistent. Some taste great, others have little flavor.",0.0,0.787,0.213,0.8074,Very Positive
113. It was ok... It was not the best dessert that I tried but the store is nice and the boys were really friendly.,0.071,0.653,0.276,0.805,Very Positive
"114. good place to take a break from all that walkin'. Little shop, a bit long line and not cheap (but what is..?) the round puffs were great!",0.0,0.767,0.233,0.807,Very Positive
"116. The pastries are little works of art and the coffee delicious works of taste. Clever and creative coffee combos, bourbon and Carmel? Yes please!



117. Had take out coffee twice. First time was reasonably good for American style latte, second time not so much



118. Ok, I wanted to try all the cream puffs, but we chose the matcha and we were not disappointed. The lattes are excellent too. Very cool vibe in this little spot in the Theater District.



119. We stopped in for a little dessert after dinner before a show. I had a tea float and a cream puff so good, and my friend had a alpaca bar and a coffee.



120. Great place for desserts, coffee or tea. All different kinds of flavors. I had green jasmine cold tea. It was so good.My friend have a lavender latte that also was delicious. Both our desserts where amazing.",0.013,0.69,0.297,0.9944,Very Positive
"Times Square Diner
AmericanDinerVegetarian Friendly
4.5
121.  Fantastic choice for an excellent meal with a local feel despite a location that's a stone's throw from Times Square. Hot chocolate made from real milk, freshly squeezed Orange juice and crispy bacon. And then the yummy (big) fluffy pancakes!



122. looks very fancy, not crazy expensive, food came VERY fast, server was very kind!! awesome vibe and beautiful decor/design.",0.0,0.658,0.342,0.9835,Very Positive
123. Excellent food and service. Lovely friendly family diner near Times Square. Would definitely recommend a visit.,0.0,0.409,0.591,0.9423,Very Positive
124. Had perfectly poached eggs on toast with bacon and home fries which hit the spot. A block west of Times Square at 49th. Coffee weakish but better with an espresso topping it up. Service quick and friendly. Prices ok,0.071,0.659,0.27,0.9001,Very Positive
"125. This diner was just around the corner from the Riu Plaza hotel from where my wife and i were staying. We had some lovely meals in here and the staff were friendly and attentive at all times, loved this place and can recommend it to anyone staying around Times Square.",0.0,0.774,0.226,0.9246,Very Positive
126. Found this little Gem on TripAdvisor and it didn't disappoint! If your around Times Square id recommend a visit! It's also quite a beautiful setting inside!,0.0,0.691,0.309,0.8698,Very Positive
"127. Don't be put off by the outside of the building. Waiting to greet you inside are a team of friendly, efficient staff and good food. Bottomless coffee & generous, traditional NYC breakfast.",0.0,0.642,0.358,0.926,Very Positive
"128. Our 8 year old daughter says the chocolate chip pancakes are super yummy! No wait at 9:45 on a Wednesday, which is good if your looking for a quick stop during your trip. Fast and friendly service, and more then enough food per portion!",0.081,0.662,0.257,0.8906,Very Positive
129. Mediocre food with no extras like hot sauce or jam to dress up your meal. The place is busy and food is cooked there and served very fast.,0.069,0.852,0.079,0.0772,Slightly Positive
130. Applebee's is lovely. They have a few diners there on a few blocks. I had oriental salad which was really good.,0.076,0.643,0.281,0.7264,Positive
131. We weren't too fussed on the food or service here. The potatos were disgusting.. crammed in at bar as well. It wasn't cheap either,0.0,0.92,0.08,0.2732,Slightly Positive
"132. Visited based on the trip advisor reviews and wasn't disappointed. Friendly and quick service! Food was good, not great - maybe just a poor menu choice",0.268,0.575,0.157,-0.594,Negative
"133. Service was quick and friendly. We had the French toast and fruit, which was very tasty! The breakfast filled us up for the day.",0.0,0.873,0.127,0.5411,Positive
"134. Huge portions of excellent food! Greatly enjoyed the Greek salad with grilled chicken. My spouse had fish tacos, which looked great. My son enjoyed a vegetarian omelette.",0.0,0.556,0.444,0.9557,Very Positive
"135. Great place for breakfast, deli sandwich (Rueben is excellent) or a night cap. We stayed on 8th Avenue so we stopped in for a night cap on night and then breakfast the next morning. Highly recommend and will return.",0.049,0.794,0.156,0.6922,Positive
"136. Great food, great service. Really quick & friendly staff. The omelettes are really yum and the food is averagely priced! Would recommend",0.0,0.554,0.446,0.9379,Very Positive
"137. Service was fast, food was great. Wish we had had more time to enjoy it. I had a bagel, husband had chocolate chip Pancakes (huge) and son had a Belgian Waffle. We were all happy.



138. We visited for our first time with my brother who has been going for 8 years, minus Covid and 2021. Great wait staff and service. Everything is homemade.....turkey, dressing sweet potatoes. We will be back.



139. Service was fast, dining area was clean, and staff was super friendly and accommodating! Not to mention the food, which was amazing!



140. Visited with family. I was hungry so had the full breakfast whilst others had the pancakes. All enjoyed the food and the experience. Thanks to Leo the lion! Would definitely return.
Patzeria Perfect Pizza
Quick BitesItalianPizza

141. I put this pizza parlor at the top of our itinerary after reading all the great reviews. We ordered a medium pepperoni pizza and a rigatoni alfredo. Pizza was amazing! Our family rated it a 9 out of 10.



142. Happened upon Patzeria after a show for a quick bite. We had the margarita pizza. The crust was perfect! The restaurant staff were quick and courteous. Will definitely visit again.



143. Great pizza, served up quickly! I come here every time I'm in the city. This visit was just as good as any other. There's lots of pizza by the slice in NYC, but this place is my favorite.



144. If God told me I had a day to live, and told me I had three meals left in NYC, one of those would be Patzeria Perfect. Special thanks to Juan and the crew for outstanding service.



145. I'm a pizza snob and I thought it was very good--got margarita and vegetarian slices. You order pizza and can sit outside at a few tables they have set up with heaters.



146. Amazing pizza - came back three times during my six day stay. Super fast and easy - they have seating outside or just get it to go. My favourite pizza I had in NYC.",0.01,0.756,0.234,0.9976,Very Positive
"147. I expected this place to be overrated, but it was one of the best slices of pizza I've ever had. I highly recommend this place for a quick bite, or a pizza to go.",0.0,0.753,0.247,0.8883,Very Positive
"148. Fantastic pizza. This place was packed, with a line out the door. But, totally worth the wait. The crust is the best anywhere.



149. We stop here every time we are in town. Great pizza, convenient location, quick and friendly staff. S great place to get a quick bite before or after a show.",0.038,0.6,0.361,0.9792,Very Positive
